Person,Review,excellent,good,comfortable,recommend,perfect,bad,problem,terrible,issues,noise,feedback
HBGuy,"I have watched several YouTube videos and haven't experienced any audio lag of the sort reported by many reviewers. As below, I've applied the firmware update 1.3.2 and it seems to have resolved several of the problems. One issue I have noticed is that when connected to a device, e.g., an iPhone, the buds won't connect to a different device, e.g., my MacBook, unless I manually break the connection. This is annoying and shouldn't happen.

I ordered and received these as soon as they were available, so my review reflects  2 months of use. I did not receive a promotional pair or discount from Bose for this review. I also own Bose QC35 noise cancelling headphones that are used on long flights to create a serene environment. These are not, nor did I expect them to be, noise cancelling. Some reviewers have comments that these buds didn't offer noise cancellation, but Bose never claimed that they did or would.

My first advice to anyone buying the SoundSport Free buds is to upgrade the firmware to the latest version - 1.3.2 at the time of this review. If possible, do it on a Mac or PC (after downloading the Bose Connect app for Mac/PC) with the buds in their charging case. The firmware update will take ~ 10 minutes to complete, vs. about 2.5 hours using the iOS app. The update fixes some of the time lag issues reported with FaceBook, etc., though don't know if the YouTube delay is fixed (I don't use them for that purpose).

The buds are very comfortable for extended use periods, and stay in place far better than Apple or other buds I tried. My use case is typically to use them while working in my home office at my computer, not for watching videos. The sound quality surprised me somewhat, as the base is deeper and more pronounced than on my QC35s or other Bose products I've owned. This isn't a complaint - just an observation. Overall, whether I'm listening to classical, jazz or oldies, the sound reproduction is excellent. They are certainly not heavy and compared to wireless bluetooth headsets, don't seem to me to be ""too big"", as some reviewers have claimed. In fact, they feel ""just right"".

The buds are also great for my daily walks or physiotherapy sessions (I recently had back surgery). They provide a good seal between the ear and most ambient noise, but not to such an extent that you can't hear on oncoming jogger or your PT coach suggesting that you change positions during an exercise routine. I also appreciate the fact that the amount of external noise is balanced, as I like to walk along the beach and frequently have to share the sidewalk with skateboarders, and I can hear them approaching while still enjoying my music playlist. So, for indoor or outdoor use, I give these a 5+.

Build quality is excellent - exactly what I'd expect from Bose. The charging case is well designed and durable, although I keep mine in a leather carrying case with its micro-USB cable and a small charger I can use if needed. I've used the buds for up to 4.5 hours with ~ 20% power remaining, as indicated by the iOS app, so Bose estimate of 5 hours use is probably accurate. I can't comment on the additional power provided by the case but assuming the battery life estimate for the buds is accurate, Bose estimate of 10 hours for the case is reasonable.

Finally, a comment about the price. Many reviewers have criticized the price, but anyone who's used Bose products for any length of time knows that they are seldom inexpensive. Given the quality, features and sound reproduction of these buds, the price is fair, at least to me. Apple's EarPods aren't inexpensive, either, and don't stay in place as well as these, nor are they as comfortable.

Overall, I am very, very pleased with the SoundSport Free buds, and strongly recommend them on all levels: sound quality, comfort, build and ease of use. I'm very happy with my purchase.",,,,,,,,,,,positive
skyboy,"Received my Bose wireless ear buds. The sync between the phone and ear buds was very simple once I downloaded the app on my phone. The sound is incredible, the bass is clear and sounds better than some noise canceling speakers I have had in the past. The feel when you place them in your ear is easy and they stay in place. So far I have had 0 problems with them losing wi fi connection. Everything has been excellent well worth the price for what you are getting.",,,,,,,,,,,positive
brian,"Sound quality is excellent. Plenty of bass, but doesn't overpower the rest of the notes. Also very easy to use. Maybe not the most fashionable as they protrude out from the ears considerably -- but the battery has to go somewhere.

For the most part, sound synchronization with video has been acceptable. It's not perfect, but then it rarely is with wireless connections. I'd say in good times theres a 0.25 second shift in sound and video maybe 0.5 second at worst, but that usually corrects if I stop and start the video again. Tested with Netflix on Android.",,,,,,,,,,,positive
lane,"These are exactly the kind of quality I have learned to expect from Bose. In some circumstances, you can get a bit of lag in the synchronization. But, I haven't noticed it anywhere that matters like phone calls or listening to various music or video streaming services. The only place I have experienced that is on YouTube and I haven't been able to determine whether that's YouTube or the ear plugs.

I am completely surprised by the low reviews. While the issues appear to be legitimate, I question whether they warrant dinging these excellent ear plugs so harshly.

One legitimate issue is the button press pressure, which is a bit heavier than I expected. I have to use 2 and sometimes 3 fingers when I press the buttons to offset the heavier press - thumb and middle finger under, index finger on button. But, the button press feels solid and robust. I'm guessing they used a high quality button mechanism that sacrificed light button press pressure for durability. Not a huge thing for me but I have large, strong hands. Could be an issue for women or someone with less grip strength.

The sound quality, however, offsets any of these issues for me. They are just as good as my more expensive over-the-ear headphones, which is saying a lot.

If you can, try them out first. I think once you do you're going to go, ""Boom. Like that."" and buy them.",,,,,,,,,,,positive
davis,"I just returned the Jabra Elite no wire earbuds. They were painful to wear, truly painful, pushing the button to change the song hurt so much i just used my phone to control. The bass was absent and sound was terrible. They let in all the surrounding noise at the gym. I replaced with the bose sound sport and there is no comparison. They have not ever cut out and the sound is superior to any wired earbuds i have used that includes apple buds. They are comfortable and fit snug, I can't hear any surrounding noise at all, the earpiece is soft and covers the ear canal. Very well designed they stay put for the duration of my workouts. The base is unbelieveable as you would expect from bose, I played everything from stevie ray vaughn to lady gaga to U2 and the balance of treble to base was awesome the midtones were not at all mushy like the jabra elite. you can go very high volume with these. Excellent product!",,,,,,,,,,,positive
earnest,"I have to admit I delayed purchasing these Bose earbuds due to the large number of poor reviews. It is really unusual to see reviews that are so bipolar, good vs. bad. I did finally buy the product a month ago. I use them with my iPhone 6s and with a Taotronics Bluetooth transmitter hooked to a SENA motorcycle helmet headset. They have worked perfectly.

I suspect the reason many people are reporting problems is they either are not downloading the Bose app and doing the firmware upgrade or they are accidentally not allowing the upgrade to finish. If there is one shame on Bose here it is the firmware upgrade takes way too long. This is not just a Soundsport Free problem, the QC-35 has the same problem.

I did experience the buds shutting down under extremely hot conditions but I would rather have them shut down and avoid permanent damage. Other than that the Bose Sound Sport Free performs as well or better than any Bluetooth device I have owned. The sound quality is excellent, but I expect that from Bose. They can be a little weird when you connect them to multiple devices but certainly no weirder than other Bluetooth devices...we are talking about an analog signal in a digital world.",,,,,,,,,,,positive
dave,"Very comfortable, a bit big on the ear but you can see that in the pictures. The sound is very good to excellent. I use them on the airplane but they do not for the most part cancel any noise from my extensive experience, two stars is generous. No moisture issues. They last about 3.5 hours, not enough but they admit that too, so no points deducted. I like these, they never fail, they always connect and stay in my ear no issues. Go for it.",,,,,,,,,,,positive
michelli,"I have tried sooooo many headsets. ALL of the major Brands including the brands that work with my phones specifically. I am always disappointed. UNTIL NOW!! I am a Realtor in Yuma, AZ. I am on the phone ALL DAY! This is the only device to date that doesn't make me have to talk LOUD in order to have people hear me. I am so happy and my husband is more happy. No more getting annoyed because he only understands every 3rd word that I say. Sound Quality for my voice and the voice of the person on the other end of the line is WONDERFUL!! When I do listen to music and podcasts the sound quality is also excellent. They are comfortable and I wear them most of the day. When I am sweating they have had no problems. (It gets VERY hot here in the summer and I work even in 110 degree weather.) That brings me to the tiniest negative that I have. When I am sweaty they tend to slide out a little. So I will take them off and sometimes I forget where I took them off (My problem not the headsets) SO I have found the location system to be too basic. It can only locate them if you are close to them and if they are on or in sleep mode. If they have been disconnected it's time for an easter egg hunt. Otherwise I LOVE LOVE LOVE them!!! Thank You Bose for ""hearing me.""",,,,,,,,,,,positive
JJ,"I have used other wireless headphones before and none even come close to the quality and ease of use that these SoundSport headphones offer. The case and the buds are sturdy but sleek.
The setup was simple using the bose connect app (used on iphone x) and the connection has been pretty flawless. There is a slight time lag in the connection, as others have mentioned, but it is only noticeable when watching videos. I am a pretty avid YouTube watcher and was a little worried that this flaw would bother me to the point of reverting to my wired headphones when watching videos but I the lag is so slight that I haven't been annoyed by it at all and a lot of the time I don't even notice it.
They fit very comfortably but I wouldn't use them for extremely extended periods of time. I had them in at work the other day for about 4 hours and the ridge of my ear where the fin fits got a little sore. As far as staying in place while moving, again, they are unmatched by anything I've tried so far. These stay in place during runs, jump roping, and even while shaking your head.
The battery life has been excellent so far. The case carries a charge so when you're not using the buds you can house them in the case and they charge to 100%. I take them to work with me in the morning and use them during the day and then take them to the gym and so far I haven't had a problem with the battery life not lasting all day. I do charge the case every night even if it's not completely out of power.
All in all, I couldn't recommend these more.",,,,,,,,,,,positive
girl from TN,"After being frustrated using another high-end brand of wireless earbuds/headphones (were always falling out of my ears, regardless of which size silicone ear ""adapter"" I used), I had reverted back to my old Bose wired headphones because they always stayed put. When I saw that Bose had used the same silicone design for these wireless earbuds (the small half-moon piece that sits on outside of ear), I decided I had to try them. Perfect! These stay in my ears, regardless of how much I move, exercise, etc. Sound quality is excellent, crisp and great range for music to podcasts to audiobooks. Battery life is decent. Chargeable charger/storage case is super convenient, fits in my bag, and allows me to charge on the go, with useful charge capacity indicator lights on case. Like most BT enabled devices, you do have to disconnect/re-connect when switching sources (phone, tablet, etc). I use almost solely with my phone, so this is not a big issue for me. Very, very pleased with this purchase. If you have had issues with other wireless headphones fitting correctly, I highly recommend these.",,,,,,,,,,,positive
ac excellent,"The sound quality is excellent of course. I find button easy enough to use and once you get used to them, even more so.
As far as the left earphone cutting out, it only happens to me when I get a text or email notification etc. Very momentary but I knew what it was when it happened.
The earphones do stick out a bit more than is attractive, kind of like a tribal earlobe ring, but the convenience of not having a wire getting in the way or connecting cord hitting me is worth it. I am more concerned with quality of sound, ease of use and convenience which are all excellent in my opinion. I also have the wired Bose earphones which are also excellent.",,,,,,,,,,,positive
sidney,I bought a pair of 40 dollar earbuds. They had great reviews for the most part - esp lauding their base quality. I got them and there was no base at all! A science -minded fellow way down in the reviews said as much. I boxed them up and returned them and got the Bose. What a difference and worth the extra cost. Night and day. Sound quality is excellent The squishy silicone does not hurt your ears and if you dont blast them -- they last for hours -- one recharge gets me through most of a 12 hour work day AND they charge super fast. I just love them.,,,,,,,,,,,positive
ac  no issues,"Update had these for several months now, still working great. A couple of points to note. On my previous phone, the blue tooth connection would sometimes become a little spotty or briefly cut out when moving around. I found that moving the phone to the right-hand pocket would alleviate some of this because I speculate that the right ear bud receives the blue tooth transmission and then transmits that to the left. So a more clear line-of-sight with the right ear bud does help. However, I recently upgraded my phone to a new model and now there is no blue tooth cut-out at all, ever. So other reviewers who may have complained about cutting out sound, may have had phones with poor blue tooth transceivers. Also, just an FYI, I accidentally washed one of the ear buds in the washing machine. SO it was submerged completely in water for ten minutes. Took it out, shook out the water for a few minutes, works perfectly. I've also dropped them from time to time by accident on concrete, etc, no issue. So.. just an FYI on the robustness of the design.

Just started using this today. I would probably give it 4.5 stars. Really quite an enjoyable wireless ear bud head set so far. I feel compelled to write this review because there were quite a few negative reviews here and in my experience so far it does not warrant a negative review.

Sound quality: full vibrant sound. In fact it was so vibrant that I actually had to remove the buds a few times just to make sure that my phone wasn't broadcasting the music for all to hear.

Charging case: neat, elegant, with a high tech and high quality feel. The buds snap in via magnetic connections and a small white LED indicates that they are charging. Upon removal of the buds, once you've synced with your phone or device, they should auto sync. If there's any issue with syncing, the Bose ""Connect Smart Phone App"", which you have to download from the App Store (very easy to do so), will connect for you when it's opened with a single click. Only tricky thing about the case is getting the buds and magnets aligned and in the dark that could be slightly tricky .. but it's a minor issue and probably just part of the early learning curve.

I did experience some very minor and very brief fading out in the left bud while I was walking around. It doesn't seem quite as annoying as some of the other posts here would have you believe. It lasted about 0.5 seconds and did not really disrupt the listening experience. No different than static in an analog radio but it's been infrequent for me so far.

My only concern or ""wish"" would be to have this same device or design with noise cancellation as well. Otherwise, my experience has been seamless and quite good so far.",,,,,,,,,,,positive
eddie,"Just opened and got them up and running, which was easy. Workmanship and quality from the box to the buds, although it would be good if they separated the easy start instruction (2 pages) more clearly from the pages of regulatory disclaimers and other language instructions.

Very comfortable, and I haven't fiddled with the larger or smaller earbuds because they fit so well don't see a reason.

Sound is potentially very loud which I like. Sound quality is as good as I could imagine. Between the volume and quality, absolutely blows away my previous Jabra Sport Elite as well as my $50 no name earbuds I tried from Amazon, hoping to avoid a steep pricetag.

So much better than the Jabra Sport Elite, which were relatively uncomfortable and very lacking in volume. Also had some issues with getting both buds to work all the time, only happened a few times but was annoying when it did.

With the no name cheapos (if you consider $50 cheap), they were just that - flimsy plastic buds and flimsy plastic case - and couldn't get both buds to pair together right out of the box, so it was an easy decision to return them immediately (thanks Amazon!).

As someone who really relies on Amazon reviews, I was surprised that all the higher end products, these Bose included, got pretty poor reviews, which may be largely due to the cost and associated expectations. So I was intrigued by the several low price (I'm considering less than $75 low price) earbuds that got largely good reviews. Seems a bit odd that there seems to be a large gap between expensive and inexpensive, without much in between. Where's the $125 good quality just not so fancy alternatives - just don't seem available.

Anyway, if these things keep working like they are, I'm a happy camper.",,,,,,,,,,,positive
carlos,"Powerfull sound as expected from an expensive Bose sound.
Some problems I've came across:
.Lag in videos on youtube app (both IOS and Android). Netflix and other players works 100% fine.
.Only one bud works when I sync with my computer (a brand new DELL Inspiron 15 7560).
.Depending where your phone is and what you are doing (like stretching after a run) the sound might stop due disconnection (issue on Galaxy S8)
.It doesn't work with PS4

Somethings I'm really surprised about:
.Excelent fit in my ears. Didn't fall when I'm running. Very comfortable.
.Powerfull sound (awesome bass).
.Phone and Case Battery has a very good stamina.",,,,,,,,,,,positive
chris,"Head and shoulders above the other earbuds I've tried. So is the price, but they deliver on every penny you shell out.

Easy to insert, stay in nicely, very comfortable to wear, and they produce the expected Bose sound quality. In a quiet room - not an airplane - these sound every bit as good as my Bose QC 25 over-the-ear headphones. I haven't tested the noise cancellation, so I can't comment on that. And not being a workout-aholic I can't comment on the moisture wicking aspects either.

THE ONLY PROBLEM WITH THESE IS ... the price!. HATE the price, but love the product - so much so I'm getting my wife a set!

Full disclosure ... I received absolutely NOTHING for this purchase and review and I don't own any shares in Bose.",,,,,,,,,,,positive
suiz,"I did quite a bit of research when I got in the market for wireless earpods. I wanted some that would sync with my devices via bluetooth, had great quality AND fit my ear comfortably. After narrowing the search down to the Apple Airpods, Jabra earbuds and the Bose SoundSport I tested each out and sought feedback from friends who had each of the others. The Bose SoundSport come with three different in ear adapters for the perfect fit and the sound quality was immediately noticeably better than the others. The volume buttons are simple and conveniently placed on the right ear bud. They sync flawlessly with with my Apple watch, iPhone and Macbook via bluetooth. The coolest feature about the syncing ability is that on the left earbud you simply tap the button on top and it switches between devices its in range of. I use them to sync with music on my watch at the gym and on bike rides regularly so I don't need to carry my phone around and deal with cables getting tangled while working out, I also enjoy wearing them on airplanes while watching TV on my laptop or phone. They're comfortable and durable and I cannot stress the sound quality. You can also use them as a bluetooth headset to talk on that phone as well. I'd recommend them to anyone in the market for premiere wireless ear buds. They are a bit pricey, but worth the money compared to the competition.",,,,,,,,,,,positive
thinkman,There was alot of good reviews on this and then some that were very poor from my experience I have been using different headphones experimenting from cheap to expensive and so far these are the best headphones I have ever used I definitely recommend this product to anybody I use this it with my galaxy s8plus and it works perfectly together noise cancelation perfect portable charging device small and easy to carry you get to register your device has GPS on it in case you loose it so it's a must its worth the money unlike my experience with the beats by dre headphones thanks BOSE happy satisfied customer,,,,,,,,,,,positive
neil,"I love all electronics and can't wait to try them out when new headphones launch. I bought the Jabra Elite 65t. At first I thought wow these are pretty great. After wearing them at work for 2 hours or so they started hurting my ears. A co-worker of mine said to try the Bose Soundsport Free as you can't beat them for comfort. I disliked the fact that they stick out so far. I do also have Apple Airpods which look silly lol. I bought the Bose and after one day immediately returned the Jabra. The sound is so much fuller, more bass and the comfort is amazing. They do stick out a bit further than Jabra but the sound quality is totally worth the comprise. I still use my airpods as they just work flawlessly but not as comfortable or sound as good. I would have to say right now Bose has nailed it for wireless earpods. The only thing that I don't like as much is if someone walks up to my desk and I take them off they continue to play whereas the Jabra's automatically pause. I have had no issues connecting or losing connection. I highly recommend you give them a try you will not be disappointed.",,,,,,,,,,,positive
